filepath,label,is_defect,score,predicted_label,is_correct,error_type
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/11_main_station_11.1_281_1631531580.200000012_patches_patch_2248_2199_80.865_0_right.png,defect,1,0.42749384,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/11_main_station_11.1_282_1631531580.300000026_patches_patch_2244_2199_81.993_0_right.png,defect,1,0.3818067,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/14_signals_station_14.1_093_1631449460.400000020_patches_patch_1855_2199_120.745_-1_right.png,defect,1,0.541972,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/17_signal_bridge_17.1_070_1631529305.100000021_patches_patch_1504_2199_107.069_0_left.png,defect,1,0.47612882,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/17_signal_bridge_17.1_070_1631529305.100000021_patches_patch_1651_2199_96.550_1_left.png,defect,1,0.41265497,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/17_signal_bridge_17.1_071_1631529305.200000008_patches_patch_1501_2199_107.216_0_left.png,defect,1,0.6895559,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/17_signal_bridge_17.1_071_1631529305.200000008_patches_patch_1645_2199_98.106_1_left.png,defect,1,0.5999649,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/17_signal_bridge_17.1_072_1631529305.300000026_patches_patch_1501_2199_107.363_0_left.png,defect,1,0.42115167,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/18_vegetation_switch_18.1_081_1631625169.200000016_patches_patch_2081_2199_80.458_0_right.png,defect,1,0.44617918,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/18_vegetation_switch_18.1_084_1631625169.500000013_patches_patch_2084_2199_80.620_0_right.png,defect,1,1.0,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/18_vegetation_switch_18.1_085_1631625169.600000023_patches_patch_2084_2199_80.620_0_right.png,defect,1,0.59795517,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/5_station_bergedorf_5.1_055_1631529898.600000031_patches_patch_2293_2199_83.494_0_right.png,defect,1,0.18307148,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/5_station_bergedorf_5.1_093_1631529902.400000017_patches_patch_2293_2199_82.525_0_right.png,defect,1,0.36577344,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/6_station_klein_flottbek_6.1_019_1631704638.000000013_patches_patch_1377_2199_113.595_0_left.png,defect,1,0.14623408,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/6_station_klein_flottbek_6.1_021_1631704638.200000028_patches_patch_1398_2199_110.992_0_left.png,defect,1,0.079006545,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_148_1631705117.900000008_patches_patch_1927_2199_111.978_0_left.png,defect,1,0.31286934,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_149_1631705118.000000003_patches_patch_1909_2199_112.569_0_left.png,defect,1,0.31588608,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_149_1631705118.000000003_patches_patch_2709_2199_88.460_0_right.png,defect,1,0.5179484,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_150_1631705118.100000030_patches_patch_1904_2199_112.482_0_left.png,defect,1,0.3601051,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_150_1631705118.100000030_patches_patch_2709_2199_88.468_0_right.png,defect,1,0.4145796,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_151_1631705118.200000025_patches_patch_1903_2199_112.210_0_left.png,defect,1,0.3651165,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_151_1631705118.200000025_patches_patch_2709_2199_88.468_0_right.png,defect,1,0.3506831,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_152_1631705118.300000020_patches_patch_1902_2199_111.293_0_left.png,defect,1,0.3773077,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_153_1631705118.400000015_patches_patch_1900_2199_111.156_0_left.png,defect,1,0.8581011,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_153_1631705118.400000015_patches_patch_2711_2199_88.539_0_right.png,defect,1,0.44376534,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_154_1631705118.500000010_patches_patch_1912_2199_127.273_-1_right.png,defect,1,0.75076574,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_154_1631705118.500000010_patches_patch_1915_2199_113.296_0_left.png,defect,1,0.7090633,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_154_1631705118.500000010_patches_patch_2709_2199_88.831_0_right.png,defect,1,0.42311457,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_155_1631705118.600000005_patches_patch_1914_2199_112.258_0_left.png,defect,1,0.73524624,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_155_1631705118.600000005_patches_patch_1922_2199_126.362_-1_right.png,defect,1,0.72564584,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_155_1631705118.600000005_patches_patch_2709_2199_88.831_0_right.png,defect,1,0.8410579,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.1_157_1631705118.800000006_patches_patch_1916_2199_112.308_0_left.png,defect,1,0.8583797,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/7_approach_underground_station_7.2_675_1631705207.600000008_patches_patch_1586_2199_108.726_0_left.png,defect,1,0.12459278,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.1_085_1631711160.600000030_patches_patch_2351_2199_83.062_0_right.png,defect,1,0.29133707,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.1_086_1631711160.700000022_patches_patch_2351_2199_83.062_0_right.png,defect,1,0.48631352,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.1_087_1631711160.800000014_patches_patch_2351_2199_82.898_0_right.png,defect,1,0.15784375,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_070_1631719553.100000005_patches_patch_1577_2199_107.502_0_left.png,defect,1,0.22455631,0,False,False Negative
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_071_1631719553.200000018_patches_patch_1575_2199_107.372_0_left.png,defect,1,0.32612762,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_072_1631719553.300000000_patches_patch_1575_2199_107.327_0_left.png,defect,1,0.33807364,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_073_1631719553.400000014_patches_patch_1575_2199_107.310_0_left.png,defect,1,0.32337463,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_074_1631719553.500000028_patches_patch_1572_2199_107.070_0_left.png,defect,1,0.5323045,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/defective/9_station_ruebenkamp_9.7_075_1631719553.600000010_patches_patch_1571_2199_107.114_0_left.png,defect,1,0.566032,1,True,True Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/good/11_main_station_11.1_276_1631531579.700000017_patches_patch_2274_2199_81.752_0_right.png,good,0,0.3593642,1,False,False Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/good/11_main_station_11.1_277_1631531579.800000026_patches_patch_2266_2199_80.272_0_right.png,good,0,0.3816508,1,False,False Positive
/home/myri/patchcore-inspection/data/mvtec/fold_279/test/good/11_main_station_11.1_278_1631531579.900000003_patches_patch_2264_2199_81.619_0_right.png,good,0,0.27559143,0,True,True Negative
