epoch,train_loss,train_acc,train_loss_eval,train_accuracy_eval,train_balanced_accuracy,train_auprc,train_auroc,train_precision,train_recall,train_f1,train_tp,train_tn,train_fp,train_fn,lr
0,0.6410125749451774,0.7692307692307693,0.5706455168269929,0.8461538461538461,0.8164102564102564,0.7734207361814555,0.8916197238658778,0.670299727520436,0.7569230769230769,0.7109826589595376,246,854,121,79,2.2088718916177512e-06
1,0.5179918961865562,0.8315384615384616,0.4175460778531574,0.8976923076923077,0.8907692307692308,0.9172825798074637,0.9521420118343196,0.753968253968254,0.8769230769230769,0.8108108108108109,285,882,93,40,3.313307837426626e-06
2,0.3805735352493468,0.9123076923076923,0.29419827248368946,0.9061538461538462,0.8994871794871795,0.935597153812179,0.9637932938856015,0.7721179624664879,0.8861538461538462,0.8252148997134671,288,890,85,37,4.4177437832355024e-06
3,0.275079668987365,0.9207692307692308,0.22641040100937798,0.9415384615384615,0.9179487179487179,0.9541834274544838,0.974450493096647,0.8927444794952681,0.8707692307692307,0.881619937694704,283,941,34,42,5.522179729044377e-06
4,0.2203331756449881,0.93,0.17115427943922223,0.9569230769230769,0.9415384615384615,0.9699046823550237,0.9841925049309664,0.9164086687306502,0.9107692307692308,0.9135802469135802,296,948,27,29,6.626615674853252e-06
5,0.18772582887184053,0.9476923076923077,0.139776369645482,0.9653846153846154,0.9471794871794872,0.9799986821911919,0.9908544378698224,0.9487179487179487,0.9107692307692308,0.9293563579277865,296,959,16,29,7.731051620662127e-06
6,0.14759576019077075,0.9546153846153846,0.10854052397466842,0.9715384615384616,0.9584615384615385,0.9875740713740795,0.9945246548323471,0.9528301886792453,0.9323076923076923,0.942457231726283,303,960,15,22,8.835487566471005e-06
7,0.13896943912619636,0.9515384615384616,0.08234193743694396,0.97,0.9707692307692308,0.9923739313340249,0.9972386587771204,0.9132947976878613,0.9723076923076923,0.9418777943368107,316,945,30,9,9.93992351227988e-06
8,0.12247864360965434,0.9607692307692308,0.06163050283101343,0.9792307692307692,0.982051282051282,0.9944931596942548,0.9980623274161736,0.9331395348837209,0.9876923076923076,0.9596412556053812,321,952,23,4,1.1044359458088754e-05
9,0.09125483745620364,0.9684615384615385,0.040112726035572234,0.9846153846153847,0.9866666666666666,0.9981460254320572,0.9993719921104537,0.9498525073746312,0.9907692307692307,0.9698795180722891,322,958,17,3,1.214879540389763e-05
10,0.05976702246282782,0.9792307692307692,0.026192773044818922,0.9923076923076923,0.9928205128205128,0.9993391340350181,0.9997759368836292,0.9758308157099698,0.9938461538461538,0.9847560975609756,323,967,8,2,1.3253231349706504e-05
11,0.055994797231895585,0.9776923076923076,0.056849103864459766,0.9861538461538462,0.9805128205128205,0.9976948258925816,0.9992110453648915,0.9752321981424149,0.9692307692307692,0.9722222222222222,315,967,8,10,1.4357667295515382e-05
12,0.06686291564255953,0.9707692307692307,0.026930048795683042,0.9938461538461538,0.9928205128205128,0.9988334571284647,0.9996370808678501,0.9847094801223242,0.9907692307692307,0.9877300613496932,322,970,5,3,1.5462103241324254e-05
13,0.04106172462481828,0.9869230769230769,0.03462224610016814,0.99,0.9861538461538462,0.998637947235497,0.9995424063116372,0.9814814814814815,0.9784615384615385,0.9799691833590138,318,969,6,7,1.656653918713313e-05
14,0.047430316208019144,0.9823076923076923,0.01954400847621617,0.9938461538461538,0.9948717948717949,0.9995596699299288,0.9998516765285996,0.9788519637462235,0.9969230769230769,0.9878048780487805,324,968,7,1,1.767097513294201e-05
15,0.04040075022549856,0.9869230769230769,0.022034420642913097,0.9930769230769231,0.9953846153846153,0.9993551766933622,0.9997885601577909,0.9730538922155688,1.0,0.9863429438543247,325,966,9,0,1.8775411078750882e-05
16,0.025239000873019297,0.9915384615384616,0.013718951471327316,0.9969230769230769,0.9969230769230769,0.9996509887657933,0.999883234714004,0.9908256880733946,0.9969230769230769,0.9938650306748467,324,972,3,1,1.987984702455976e-05
17,0.026045931192735832,0.9923076923076923,0.011374721336843712,0.9961538461538462,0.9964102564102564,0.9998690633043973,0.9999558185404339,0.9878048780487805,0.9969230769230769,0.9923430321592649,324,971,4,1,2.098428297036863e-05
18,0.02923529034125663,0.99,0.010865357610219646,0.9984615384615385,0.9979487179487179,0.9998694575978269,0.9999558185404339,0.9969230769230769,0.9969230769230769,0.9969230769230769,324,974,1,1,2.2088718916177507e-05
19,0.017782385660601512,0.9946153846153846,0.0036658285645812397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,2.3193154861986387e-05
20,0.023834552671316834,0.99,0.052082540184658556,0.99,0.981025641025641,0.9991980444178901,0.9997254437869822,0.9968152866242038,0.963076923076923,0.9796557120500783,313,974,1,12,2.429759080779526e-05
21,0.0553136993909166,0.9792307692307692,0.007653447106436249,0.9984615384615385,0.9989743589743589,0.9999337256543889,0.999977909270217,0.9938837920489296,1.0,0.9969325153374233,325,973,2,0,2.5402026753604135e-05
22,0.06069349785823198,0.9823076923076923,0.10232766099008066,0.9461538461538461,0.9641025641025641,0.9974713630765473,0.9992015779092702,0.8227848101265823,1.0,0.9027777777777778,325,905,70,0,2.6506462699413008e-05
23,0.05916203004086301,0.9784615384615385,0.016395749402276817,0.9969230769230769,0.995897435897436,0.9997905073253056,0.99992741617357,0.9938461538461538,0.9938461538461538,0.9938461538461538,323,973,2,2,2.7610898645221884e-05
24,0.020251920147399818,0.9946153846153846,0.010534795998994793,0.9953846153846154,0.9969230769230769,0.9999811808986121,0.9999936883629191,0.9818731117824774,1.0,0.9908536585365854,325,969,6,0,2.8715334591030763e-05
25,0.013583866541185194,0.9953846153846154,0.002392009955309775,0.9992307692307693,0.9994871794871795,0.9999999999999999,1.0,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,2.9819770536839633e-05
26,0.015981018587592103,0.9946153846153846,0.0021214612352196127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,3.092420648264851e-05
27,0.02987567750027492,0.9884615384615385,0.007995373505677673,0.9953846153846154,0.9969230769230769,1.0,1.0,0.9818731117824774,1.0,0.9908536585365854,325,969,6,0,3.202864242845739e-05
28,0.023918898975742713,0.9915384615384616,0.004385841134492131,0.9992307692307693,0.9994871794871795,0.9999525157145019,0.9999842209072978,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,3.313307837426626e-05
29,0.037786607131628056,0.9853846153846154,0.00635738359553562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,3.423751432007514e-05
30,0.02053925638929719,0.99,0.0040317563938775235,0.9992307692307693,0.9994871794871795,0.9999810941300323,0.9999936883629191,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,3.534195026588402e-05
