epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr
0,0.43400394124910235,0.8495049504950495,7.673644512519241,0.5241379310344828,0.6723310291858678,0.7204781105990784,0.258310366445767,0.21764705882352942,0.8809523809523809,0.3490566037735849,115,133,5,37,0.0009990133642141358
1,0.19368592533282936,0.9514851485148514,0.7980314522981644,0.7862068965517242,0.8255568356374807,0.8793202764976958,0.5640788307905228,0.39361702127659576,0.8809523809523809,0.5441176470588235,191,57,5,37,0.000996057350657239
2,0.14841265801806003,0.9534653465346534,0.46481852382421496,0.896551724137931,0.7120775729646698,0.8027073732718893,0.5540046140873758,0.7307692307692307,0.4523809523809524,0.5588235294117647,241,7,23,19,0.0009911436253643444
3,0.11595983197912574,0.9623762376237623,0.46877029351890087,0.8724137931034482,0.5990783410138248,0.7742895545314901,0.5307454954348602,0.6923076923076923,0.21428571428571427,0.32727272727272727,244,4,33,9,0.0009842915805643156
4,0.13164290226995945,0.9603960396039604,0.6415058847516775,0.8068965517241379,0.7783218125960062,0.8870967741935484,0.6041770554696285,0.40789473684210525,0.7380952380952381,0.5254237288135594,203,45,11,31,0.0009755282581475769
5,0.13518015039153397,0.9574257425742574,0.43263058667071164,0.9,0.7338709677419355,0.8472542242703534,0.5896126259479207,0.7241379310344828,0.5,0.5915492957746479,240,8,21,21,0.0009648882429441258
6,0.10276727797463536,0.9633663366336633,0.4793933242559433,0.8172413793103448,0.7349270353302612,0.8297811059907834,0.5180144718728672,0.4126984126984127,0.6190476190476191,0.49523809523809526,211,37,16,26,0.0009524135262330099
7,0.1262672864831984,0.9534653465346534,0.4036907717585564,0.8689655172413793,0.7453917050691243,0.8156682027649769,0.4758535845201802,0.5454545454545454,0.5714285714285714,0.5581395348837209,228,20,18,24,0.0009381533400219318
8,0.11184400622732937,0.9712871287128713,0.5282831892371178,0.7896551724137931,0.7880184331797235,0.8617511520737327,0.6002269370478758,0.38823529411764707,0.7857142857142857,0.5196850393700787,196,52,9,33,0.0009221639627510075
9,0.09892188623780385,0.9722772277227723,0.3808889283798635,0.8827586206896552,0.6051267281105991,0.8706797235023043,0.6865635140821928,0.9,0.21428571428571427,0.34615384615384615,247,1,33,9,0.0009045084971874736
10,0.0825937200570479,0.9683168316831683,0.3947233923478052,0.8793103448275862,0.6327764976958525,0.8812403993855606,0.6279596875020411,0.7058823529411765,0.2857142857142857,0.4067796610169492,243,5,30,12,0.0008852566213878945
